name,relationship,source,context,last_interaction_date,last_interaction_summary,tags,notes
Piotr Grabowski,"advisor, former CTO","ex-colleague at STX Next, 2014-2016","Engineering leader, now VP Eng at Packhelp. Deep infrastructure knowledge. Advises us informally on architecture decisions. Speaks slowly, thinks carefully.",2026-04-05,"Lunch at Bibenda. Discussed our database migration plan. He flagged a potential issue with our sharding approach, sent me a link afterward that I haven't read yet.","advisor, technical, active",He's been advising us for free for months. I should formalize this — equity or at least a proper advisor agreement. Feels awkward to bring up.
Marek Jankowski,"potential design partner, FinBridge","introduced by Katarzyna Sikora, 2025","Head of Product at FinBridge, a fintech doing SME lending. They have exactly the pain point we solve. Mid-40s, pragmatic, not easily impressed.",2026-04-03,Demo call went well. He wants to run a 4-week pilot starting May. Needs a proposal doc and data security questionnaire from us.,"design-partner, fintech, active, pilot","TODO: Send him the pilot proposal and security questionnaire. His compliance team needs it before they can sign anything. Also need to CC their DPO, whose name I forgot to write down."
Dorota Majewska,"potential design partner, HR tech","met at Product Hunt launch, commented on our post","CPO at PeopleForce (HR platform, Kyiv/Warsaw). Energetic, talks fast. Very active on Twitter. Their team is 100+, might be a great mid-market case study.",2026-03-15,Twitter DM exchange. She's interested in a pilot but said Q2 is insane for them — suggested reconnecting in June.,"design-partner, hr-tech, active, pipeline","Reconnect in June. She also asked if we integrate with Slack — we don't yet, but it's on the roadmap."
Filip Wójcik,"recruiter, potential hire","LinkedIn cold message from him, 2025","Senior backend engineer, currently at Netguru. 7 years of experience, strong in Go. Looking to join an early-stage startup. Seems motivated by ownership, not just comp.",2026-03-22,Technical interview — Jakub liked him a lot. We're deciding between him and one other candidate.,"hiring, engineering, active","Good culture fit. Salary expectation is 28k PLN net, which is at the top of our range. Jakub thinks he's worth it."
Hanna Lewandowska,"ex-colleague from STX Next, 2014-2016",worked together at STX Next,"Now Head of Design at Docplanner. We overlapped for two years, stayed loosely in touch. She's incredible at user research — I've thought about asking her to moonlight for us.",2026-02-10,Bumped into her at a meetup in Warsaw. Quick catch-up. She mentioned she's burned out and thinking about taking a sabbatical.,"design, ex-colleague, warm",She knows Anna Kwiatkowska from Docplanner days — could be useful context but also could be awkward since Anna is evaluating our round.
Klaus Weber,"investor, Berlin-based","met at SaaStock 2024, Dublin","Partner at Cherry Ventures. Covers CEE from Berlin. Tall, very German-efficient in meetings. Interested in PLG B2B SaaS. Did Vantage and Maze.",2026-03-05,Video call. He liked the product but said we're too early for Cherry — wants to see us again at Series A. Offered to intro us to a few angels in Berlin.,"investor, fundraising, warm, berlin",He mentioned Tobias Schreier as a potential angel — said he'd intro if I wanted. I said yes but never followed up.
Tobias Schreier,"potential angel investor, Berlin",pending intro from Klaus Weber,CTO at a fintech in Berlin (can't remember the name). Apparently writes 25-50k angel checks in dev tools. I don't know him yet.,2026-02-15,Klaus sent a brief email intro connecting us — I replied but Tobias hasn't responded.,"investor, angel, target, berlin",Klaus was going to intro me. Should follow up with Klaus.
Joanna Nowicka,"lawyer, startup counsel","referral from Paweł Zieliński, 2024","Partner at Wardyński & Partners, specializes in VC/startup law. Handles our SAFE agreements and will do the seed round docs. Crisp, efficient, doesn't waste words.",2026-04-07,Email exchange about the SAFE template for Michał's investment. She sent a redline I need to review.,"legal, fundraising, active",She quoted 15k PLN for the full round documentation. Need to confirm and sign engagement letter.
Łukasz Borkowski,"university friend, now in corporate","Poznań University of Technology, 2012","Works at Google Zurich as a senior SWE. We were close in uni but drifted apart. He's into climbing and mechanical keyboards. Married to someone named Petra, no kids.",2025-09-14,"He visited Warsaw, we grabbed beers. Fun night but felt like we were catching up out of obligation more than genuine connection.","friend, dormant, tech",
Maria Fernandez,"potential hire, product","introduced by Dorota Majewska, 2025","Product manager, Spanish, based in Warsaw for 3 years. Previously at Brainly. Strong analytical background, speaks fluent Polish. Interested in early-stage roles.",2026-03-01,"Coffee meeting. Sharp, asked great questions about our ICP. She's exploring options but not in a rush — has a 3-month notice period.","hiring, product, active",She's also talking to Productboard. We should move fast if we want her. I told her I'd get back to her within two weeks — it's been six.
Szymon Czajka,"ex-colleague from Allegro, 2016-2018","worked together at Allegro, overlapped with Paweł Zieliński",Now co-founder of a logistics startup (LoadMe). We were on the same team at Allegro under Paweł. Competitive but in a mostly healthy way. His startup is about a year ahead of ours in fundraising.,2026-01-20,Ran into him at a KPT event. Tried to compare notes on fundraising but he was weirdly cagey — felt like he didn't want to share info anymore.,"ex-colleague, founder, warm, complicated","Used to be close. Since we're both fundraising, there's a weird competitive energy. He's also talking to Inovo — wonder if his company is the competitor Katarzyna mentioned."
Ewa Pietrzak,accountant,"referral from Joanna Nowicka, 2024","Runs a small accounting firm specializing in startups and R&D tax credits. Reliable, responsive, not the cheapest but worth it.",2026-04-01,Monthly financials review call. Everything clean. She flagged we should start thinking about IP Box.,"accountant, operations, active",
Adam Nowicki,"investor, Cogito Capital","met at MIT Enterprise Forum Poland, 2025","Associate at Cogito Capital, their new early-stage fund. Young, eager, seems to have less decision-making power than he lets on. Background in data science.",2026-02-28,"He asked for a follow-up call after I pitched at the forum. Enthusiastic but vague on timeline. Kept saying he needs to ""align with the team.""","investor, fundraising, warm",
Natalia Wróbel,PR/comms freelancer,"LinkedIn, she pitched me her services, 2025",Does PR for startups — worked with Symmetrical and Tidio. Good at getting press in Puls Biznesu and Rzeczpospolita. Based in Gdańsk.,2026-01-05,She sent a proposal for a 3-month PR retainer. 8k PLN/month. I said I'd think about it.,"marketing, pr, warm",
James Chen,"potential partner, API integration","met at API World 2024, San Francisco","Developer Relations lead at Segment. We discussed a potential integration. American-Chinese, lives in SF, super energetic, lots of ideas. Wore a very memorable neon green jacket.",2025-08-20,Exchanged a few emails after the conference. He was excited initially but then went quiet. Might have changed roles.,"partnerships, integration, dormant, international","Last email from him went unanswered — mine, not his. I owe him a reply from August."
Zofia Adamczyk,"ex-colleague from STX Next, 2014-2016",worked together at STX Next,"QA engineer turned engineering manager at Ocado Technology. Meticulous, very organized. We weren't close at STX but reconnected when she moved to Warsaw.",2025-11-10,"Coffee. She's frustrated at Ocado — politics, slow pace. Hinted she might be open to something new.","ex-colleague, engineering, warm",
Rafael Santos,"investor, Lisbon-based",met at Web Summit 2024,"Partner at Indico Capital, Lisbon. Covers B2B SaaS across Europe. Brazilian-Portuguese, very warm personality. Did early rounds in Amplemarket and Codacy.",2025-11-15,"Good meeting at Web Summit. He asked me to send our deck. I did, he said he'd review after the holidays.","investor, fundraising, warm, international",
Mateusz Krawczyk,"friend of a friend, now advisor candidate","introduced by Magda Kamińska at her birthday party, 2023","Serial entrepreneur, sold his e-commerce company to Grupa Pracuj in 2021. Now does advisory work and invests casually. Charismatic, tells great stories, sometimes hard to pin down on specifics.",2025-10-01,"He offered to help with go-to-market strategy. We had one call, it was useful, then scheduling fell apart.","advisor, gtm, warm",He said he'd review our pricing model but we never scheduled the follow-up. My fault — I got swamped.
Iga Stankiewicz,"designer, freelance","Dribbble, I reached out to her, 2024","Brand and UI designer, did our logo and initial design system. Based in Łódź. Very talented, a bit unreliable with timelines. Has a cat named Pixel.",2026-02-15,"She finished the investor deck design. Great work, delivered 4 days late as usual.","design, freelance, active",Owes me final invoice for the deck work. I think it was around 3500 PLN.
Wojciech Mazur,"university professor, Poznań","Poznań University of Technology, thesis advisor","Professor of distributed systems. Supervised both me and Jakub. Still at the university, nearing retirement. Dry humor, always wearing a corduroy jacket.",2025-06-10,He emailed asking if we'd give a guest lecture to his students about startup engineering. I said yes but we never set a date.,"academic, mentor, dormant",I should schedule that lecture — I said yes months ago. He's probably too polite to ask again.
Elena Voronova,"potential hire, data science",met at PyData Warsaw 2025,"Data scientist, Ukrainian, moved to Warsaw in 2022. PhD in NLP from KPI Kyiv. Currently at Samsung R&D. Very sharp, quiet until she has something important to say.",2026-03-10,Informational coffee. She's interested in joining an AI startup but wants to understand the product deeply first. I gave her access to our sandbox.,"hiring, data-science, active",She asked really good questions about our model architecture. Follow up in two weeks — she said she'd play with the sandbox and come back with thoughts.
Bartosz Kaczmarek,friend from startup scene,"met at Startup Grind Warsaw, 2020","Co-founder of a food-tech startup that folded in 2023. Now does product consulting. Funny, self-deprecating about the failure. We grab beers every few months.",2026-01-15,Beers at Kufle i Kapsle. He's thinking about starting something new in climate tech. Wanted to brainstorm. Good conversation.,"friend, founder, warm",
Alicja Marczak,"potential client, enterprise","introduced by Adam Nowicki, 2025",Director of Digital Transformation at PZU (insurance). Big corporate energy but genuinely trying to innovate. Controls a decent budget.,2026-02-20,"Intro call. She described their pain points — actually a great fit for us. But PZU procurement is a nightmare, 6-month cycles minimum.","enterprise, pipeline, warm, sales",She said to reach out again in Q3 when their new budget cycle starts. Put a reminder.
Lars Eriksson,"advisor candidate, Nordics","met at a dinner hosted by Klaus Weber in Berlin, 2024","VP of Sales at Pleo (Copenhagen). Knows the European B2B SaaS playbook cold. Swedish, very structured thinker. Married to a partner at Northzone.",2025-07-10,Good dinner conversation. He gave me advice on pricing for SMB vs. mid-market. Said to reach out if I ever need Nordics intros.,"sales, advisor, dormant, nordics",His wife is at Northzone — could potentially be a path to a conversation there for Series A. Don't want to be transactional about it though.
Karolina Duda,"ex-colleague from Allegro, 2016-2018",worked together at Allegro,"Now runs marketing at Brand24. We were friendly but not close. She's become very active on LinkedIn — posts every day, growing audience.",2025-12-01,She commented on my LinkedIn post about our product launch. I replied but we didn't take it further.,"ex-colleague, marketing, dormant",
Artur Szymański,"investor, business angel","met at StartupHub demo day, 2025","Retired pharma exec, does angel investing as a hobby. Old-school — prefers printed decks and face-to-face meetings. Surprisingly tech-savvy for his age.",2026-03-20,Met at Cosmo for coffee. He wants to invest 100k but has a lot of questions about the cap table. Doesn't understand SAFEs well.,"investor, angel, active, fundraising",Joanna Nowicka offered to explain the SAFE structure to him directly. I should connect them.
Weronika Bak,university friend,"Poznań University of Technology, 2012",Left tech for medicine — now a resident in radiology at a hospital in Kraków. We were in the same study group. She brings a completely outside perspective when I vent about startup stuff.,2025-08-30,She visited Warsaw for a conference. Quick dinner. She looked exhausted — residency is brutal.,"friend, personal, dormant","Her wedding is in September 2026, in Kraków. Save the date — it's a Saturday."
Damian Ostrowski,landlord for the office,"found via OLX, 2024","Owns the building where we have our office space in Mokotów. Retired engineer, a bit grumpy, but fair. Fixes things quickly when asked.",2026-03-01,"Lease renewal discussion. He wants to raise rent by 12%. I pushed back, settled on 8%.","operations, office, active",Lease renewed through end of 2026. He mentioned he might sell the building next year — could mean we need to move.
Sophie Laurent,"potential partner, French startup","met at Station F event, Paris, 2024","Co-founder of a French startup doing AI-powered contract analysis. Potential integration partner. Very polished, MBA from INSEAD. Based in Paris.",2025-05-15,We had a video call about a potential co-marketing arrangement. It fizzled — neither of us followed through.,"partnerships, international, dormant, ai",
Krzysztof Wiater,"startup friend, competitor-adjacent","met through Szymon Czajka, 2022","Co-founder of an analytics tool for SaaS companies. Not a direct competitor but close enough that investors sometimes lump us together. Good guy, very transparent about his numbers.",2025-09-20,He DM'd me asking if I'd heard anything about Inovo's new fund. I shared what I knew. Felt like mutual intel-gathering.,"founder, saas, warm",
Julia Kwiecień,"PR contact, journalist","she reached out for a comment, 2024","Tech journalist at Spider's Web. Covers Polish startups and VC. Fair, does her homework. Good to stay on her radar.",2025-11-20,"She interviewed me for a piece on Polish SaaS companies raising abroad. Article was balanced, good coverage.","press, media, warm",
Oliwia Jankowska,"Agnieszka's friend, potential user","introduced by Agnieszka at a family gathering, 2024",Runs a small recruitment agency in Wrocław. 15 employees. Classic SMB pain points — uses spreadsheets for everything. Could be an early adopter.,2025-12-20,She tried our free trial. Said she liked it but didn't convert. Feedback: onboarding was confusing.,"potential-user, smb, warm, feedback",
Marcus Thompson,"DevRel contact, US","met at API World 2024, San Francisco",Developer advocate at Twilio. We bonded over being non-Americans at an American conference. From London originally. Knows the API ecosystem deeply.,2025-08-20,"We grabbed tacos after the conference. Fun guy, lots of energy. Exchanged numbers but haven't talked since.","devrel, international, dormant",
Dominik Szulc,"Jakub's brother, occasionally helpful",through Jakub,Works in commercial real estate. Not in tech at all but surprisingly well-connected in Warsaw business circles. We see each other at Jakub and Ola's dinner parties.,2025-12-24,Christmas dinner at Jakub and Ola's. He told a hilarious story about a deal gone wrong. Good vibes.,"personal, networking, dormant",He once offered to help us find cheaper office space. Might be worth taking him up on that if Damian sells the building.
Renata Kaczor,"potential advisor, impact investing","met at Impact CEE conference, 2025","Runs an impact-focused micro VC in Warsaw. Interested in tech-for-good angles. Former UNDP, very mission-driven. We disagree on whether profit-first or impact-first is the right framing, but the conversations are stimulating.",2026-01-10,She challenged me on our DEI hiring practices at a panel afterparty. Uncomfortable but fair points.,"advisor, impact, warm",
Henrik Olsen,"SaaS founder, Copenhagen","met at SaaStock 2024, Dublin","Founded a Nordic HR-tech SaaS, about 2 years ahead of us in stage. Very generous with his time. We compared notes on European expansion and pricing.",2025-10-10,He sent me a Loom video breaking down his pricing page evolution. Incredibly generous — unsolicited.,"founder, saas, warm, nordics",He uses the same law firm as Lars Eriksson. Small world. Should reconnect and update him on our progress.
Grzegorz Wilk,"neighbor, occasionally useful",lives in the same building,"Retired, used to work in banking. Watches our packages. We chat in the stairwell. He's lonely since his wife passed — sometimes talks for too long but I don't have the heart to cut him off.",2026-04-10,"Ran into him by the mailboxes. He asked about my work — I tried to explain SaaS, he nodded politely.","personal, neighbor, active",His daughter works at mBank in some senior role. He's mentioned it three times. Probably wants me to ask for an intro.
Martyna Głowacka,"founder friend, deep tech","met at Google for Startups accelerator, 2023","Founded a quantum computing startup. Brilliant, slightly intimidating. PhD in physics. We were in the same GFS cohort.",2025-04-15,"She raised a 2M EUR seed from Speedinvest. Congratulated her on LinkedIn, she replied warmly.","founder, deep-tech, dormant",
Piotr Szczepanik,Tomek's film colleague,"met through Tomek, at a screening, 2023","Documentary editor, works with Tomek occasionally. Thoughtful, quiet. We've talked about how storytelling applies to pitching — actually insightful.",2025-07-20,Tomek's screening event. Piotr and I had a long conversation about narrative structure in pitch decks. He made me rethink our story arc.,"creative, personal, dormant",
Aneta Michalak,"banker, potential strategic contact","sat next to her at a dinner hosted by Artur Szymański, 2025","Director at PKO BP's innovation lab. They run a corporate accelerator and are looking for B2B SaaS tools to pilot internally. Polished, corporate, but genuinely curious.",2026-03-25,She emailed me asking for a one-pager about our product for her team's review. I said I'd send it Monday.,"enterprise, banking, active, strategic",I told her I'd send the one-pager on Monday. That was three Mondays ago.
